date,category,title,link
"<pubDate>Fri, 13 Mar 2020 17:19:24 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>다섯번 음성이었다 여섯번째 ‘양성’…이상 사례에 당국 비상</title>,<link>http://www.hani.co.kr/arti/area/yeongnam/932487.html</link>
"<pubDate>Fri, 13 Mar 2020 19:30:55 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>금태섭 탈락 여진…민주당내 “소신파 배제, 수도권 악재”</title>",<link>http://www.hani.co.kr/arti/politics/assembly/932504.html</link>
"<pubDate>Fri, 13 Mar 2020 18:16:11 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>신천지, 서울시 법인 취소 관련 청문 절차 ‘불참’</title>",<link>http://www.hani.co.kr/arti/area/capital/932495.html</link>
"<pubDate>Fri, 13 Mar 2020 17:48:22 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>전세계 주식 데스크 끊임없는 전화벨 “일단 숨을 곳을 찾아라”</title>,<link>http://www.hani.co.kr/arti/international/globaleconomy/932490.html</link>
"<pubDate>Fri, 13 Mar 2020 16:13:41 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>“베트남, 삼성디스플레이 엔지니어 186명 입국 허용”</title>",<link>http://www.hani.co.kr/arti/politics/diplomacy/932471.html</link>
"<pubDate>Fri, 13 Mar 2020 16:30:28 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>대구·경북, ‘특별재난지역’ 되나…문 대통령 결단만 남아</title>",<link>http://www.hani.co.kr/arti/society/society_general/932477.html</link>
"<pubDate>Fri, 13 Mar 2020 17:49:05 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>한중 “코로나19 서로 돕자”…기업 활동·마스크 등 논의</title>,<link>http://www.hani.co.kr/arti/politics/diplomacy/932491.html</link>
"<pubDate>Fri, 13 Mar 2020 15:41:27 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>일본 시민·동포, 마스크 배포 제외된 조선학교에 마스크 나눔</title>",<link>http://www.hani.co.kr/arti/international/japan/932469.html</link>
"<pubDate>Sun, 15 Mar 2020 09:50:51 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>호나우지뉴, 교도소 풋살대회서 ‘5골 6도움’</title>",<link>http://www.hani.co.kr/arti/sports/soccer/932571.html</link>
"<pubDate>Sun, 15 Mar 2020 10:18:54 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>호박 속에서 발견한 ‘공룡의 머리’</title>,<link>http://www.hani.co.kr/arti/science/science_general/932574.html</link>
